Dates,DJIA CLOSE,SP500 CLOSE,VIX CLOSE
6/24/2019,26727.54,2945.35,15.26
6/25/2019,26548.22,2917.38,16.28
6/26/2019,26536.82,2913.78,16.21
6/27/2019,26526.58,2924.92,15.82
6/28/2019,26599.96,2941.76,15.08
7/1/2019,26717.43,2964.33,14.06
7/2/2019,26786.68,2973.01,12.93
7/3/2019,26966,2995.82,12.57
7/5/2019,26922.12,2990.41,13.28
7/8/2019,26806.14,2975.95,13.96
7/9/2019,26783.49,2979.63,14.09
7/10/2019,26860.2,2993.07,13.03
7/11/2019,27088.08,2999.91,12.93
7/12/2019,27332.03,3013.77,12.39
7/15/2019,27359.16,3014.3,12.68
7/16/2019,27335.63,3004.04,12.86
7/17/2019,27219.85,2984.42,13.97
7/18/2019,27222.97,2995.11,13.53
7/19/2019,27154.2,2976.61,14.45
7/22/2019,27171.9,2985.03,13.53
7/23/2019,27349.19,3005.47,12.61
7/24/2019,27269.97,3019.56,12.07
7/25/2019,27140.98,3003.67,12.74
7/26/2019,27192.45,3025.86,12.16
7/29/2019,27221.35,3020.97,12.83
7/30/2019,27198.02,3013.18,13.94
7/31/2019,26864.27,2980.38,16.12
8/1/2019,26583.42,2953.56,17.87
8/2/2019,26485.01,2932.05,17.61
8/5/2019,25717.74,2844.74,24.59
8/6/2019,26029.52,2881.77,20.17
8/7/2019,26007.07,2883.98,19.49
8/8/2019,26378.19,2938.09,16.91
8/9/2019,26287.44,2918.65,17.97
8/12/2019,25907.37,2883.75,21.09
8/13/2019,26279.91,2926.32,17.52
8/14/2019,25479.42,2840.6,22.1
8/15/2019,25579.39,2847.6,21.18
8/16/2019,25886.01,2888.68,18.47
8/19/2019,26135.79,2923.65,16.88
8/20/2019,25962.44,2900.51,17.5
8/21/2019,26202.73,2924.43,15.8
8/22/2019,26252.24,2922.95,16.68
8/23/2019,25628.9,2847.11,19.87
8/26/2019,25898.83,2878.38,19.32
8/27/2019,25777.9,2869.16,20.31
8/28/2019,26036.1,2887.94,19.35
8/29/2019,26362.25,2924.58,17.88
8/30/2019,26403.28,2926.46,18.98
9/3/2019,26118.02,2906.27,19.66
9/4/2019,26355.47,2937.78,17.33
9/5/2019,26728.15,2976,16.27
9/6/2019,26797.46,2978.71,15
9/9/2019,26835.51,2978.43,15.27
9/10/2019,26909.43,2979.39,15.2
9/11/2019,27137.04,3000.93,14.61
9/12/2019,27182.45,3009.57,14.22
9/13/2019,27219.52,3007.39,13.74
9/16/2019,27076.82,2997.96,14.67
9/17/2019,27110.8,3005.7,14.44
9/18/2019,27147.08,3006.73,13.95
9/19/2019,27094.79,3006.79,14.05
9/20/2019,26935.07,2992.07,15.32
9/23/2019,26949.99,2991.78,14.91
9/24/2019,26807.77,2966.6,17.05
9/25/2019,26970.71,2984.87,15.96
9/26/2019,26891.12,2977.62,16.07
9/27/2019,26820.25,2961.79,17.22
